Category,Count
Bluetooth: SCO,4
Bluetooth: hci_event,1
Bluetooth: hci_core,6
asoc-fix-v6.12-rc2,1
dma-buf,3
ACPICA: events/evxfregn,1
nf-24-12-11,1
i2c: riic,1
ASoC: Intel,16
bonding,5
"net, team, bonding",1
perf probe,6
net/sched: netem,1
batadv-net-pullrequest-20241210,1
splice,1
Merge branch 'mana-fix-few-memory-leaks-in-mana_gd_setup_irqs',1
net: mana,3
MAINTAINERS,49
udmabuf,3
netfilter: nf_tables,14
netfilter: IDLETIMER,1
selftests: netfilter,7
"Revert ""unicode",1
vfio-v6.13-rc3,1
linux_kselftest-fixes-6.13-rc3,1
EDAC/amd64,1
riscv: mm,1
riscv,25
ASoC: fsl_spdif,1
ASoC: fsl_xcvr,4
libperf: evlist,1
perf test expr,1
selftests/ftrace,1
s390/ipl,2
Bluetooth,7
media: dvb-frontends,1
scripts/kernel-doc,1
platform/x86/intel/vsec,2
platform/x86/intel/ifs,1
platform/x86: touchscreen_dmi,1
ASoC: tas2781,2
USB: serial,11
Merge branch 'net-renesas-rswitch-several-fixes',1
cifs,15
wireless-2024-12-10,1
tcp,6
Documentation: networking,2
bnxt_en,30
clk-fixes-for-linus,2
for-6.13-rc2-tag,1
probes-fixes-v6.13-rc1,1
cxl/region,2
cxl/pci,4
Documentation: PM,1
Merge branch 'bpf-track-changes_pkt_data-property-for-global-functions',1
"bpf,perf",2
ARC: bpf,1
ARC: dts,1
ARC,1
arc,1
of/irq,2
"bpf, sockmap",5
cpufreq/amd-pstate,20
blk-cgroup,1
dm,5
drm/amdkfd,19
i2c: nomadik,5
mmc: mtk-sd,6
mmc: sdhci-tegra,1
i2c: pnx,1
udp,1
p2sb,4
alienware-wmi,12
kvmarm-fixes-6.13-2,1
ASoC: audio-graph-card,2
ASoC: amd,16
openrisc,2
ALSA: control,1
gpio: idio-16,1
v6.13-rc2,1
Merge branch 'virtio_net-correct-netdev_tx_reset_queue-invocation-points',1
virtio_net,15
virtio_ring,6
gpio: graniterapids,7
iommu/amd,21
octeontx2-af,6
memcg: slub,1
crypto,60
scsi: ufs,51
Merge branch 'qca_spi-fix-spi-specific-issues',1
qca_spi,2
cxgb4,1
rust: kbuild,2
iommu/tegra241-cmdqv,4
drm/panic,8
perf test hwmon_pmu,1
perf hwmon_pmu,4
perf ftrace,1
smb3,2
ACPI: resource,2
tools/hv,4
hv/hv_kvp_daemon,1
Drivers: hv,2
drivers: hv,1
tools: hv,2
x86/hyperv,1
locking_urgent_for_v6.13_rc3,1
perf_urgent_for_v6.13_rc3,1
sched_urgent_for_v6.13_rc3,1
futex,3
scmi-fix-6.13,1
juno-fix-6.13,1
Merge branch 'net-sparx5-lan969x-fixes',1
net: sparx5,16
net: lan969x,10
spi: spi-cadence-qspi,1
spi: rockchip,1
spi: aspeed,1
regulator: axp20x,2
regulator: dt-bindings,4
sched/eevdf,1
sched/fair,3
drm/i915,8
drm/i915/color,4
drm/i915/dsb,1
sound: usb,2
efivarfs,1
ALSA: hda/realtek,20
ALSA: hda/ca0132,1
ata: sata_highbank,1
Linux 6.13-rc2,1
kbuild-fixes-v6.13,1
irq_urgent_for_v6.13_rc2,1
timers_urgent_for_v6.13_rc2,1
x86_urgent_for_v6.13_rc2,1
mm-hotfixes-stable-2024-12-07-22-39,1
tracing/eprobe,1
Merge branch 'ocelot-ptp-fixes',1
ip,1
net: stmmac,30
6.13-rc1-smb3-client-fixes,1
block-6.13-20241207,1
io_uring-6.13-20241207,1
ubifs-for-linus-6.13-rc2,1
ALSA: usb-audio,12
headers/cleanup.h,1
net,26
net: lapb,1
Merge branch 'bnxt_en-bug-fixes',2
ptp: kvm,1
Merge branch 'selftests-mlxsw-add-few-fixes-for-sharedbuffer-test',1
selftests: mlxsw,7
fixes-2024-12-06,1
drm-fixes-2024-12-06,1
